序号,指标类型1/2/3/4/5,点描述 ,点名,实际值,期望值,D//-D,上上限H,下下限L,触发标签,坏点时间,备用1,备用2,备用3
996,1,一级过热器A侧的减温水流量,N3DCS.3FTFW112AI,,V_FA[5]/1000,10,90,0,,,,,1
997,1,一级过热器B侧的减温水流量,N3DCS.3FTFW085AI,,V_FB[5]/1000,10,90,0,,,,,1
998,1,二级过热器A侧的减温水流量,N3DCS.3FTFW113AI,,V_SA[5]/1000,10,90,0,,,,,1
999,1,二级过热器B侧的减温水流量,N3DCS.3FTFW111AI,,V_SB[5]/1000,10,90,0,,,,,1
1000,1//4,AA侧一级减温水调阀,N3DCS.3ZTFW521AAI,,CDATA['N3DCS.3TVFW521AAO'],8,102,-1,,,,,1
1001,1//4,AB侧一级减温水调阀,N3DCS.3ZTFW521BAI,,CDATA['N3DCS.3TVFW521BAO'],8,102,-1,,,,,1
1002,1//4,BA侧一级减温水调阀,N3DCS.3ZTFW522AAI,,CDATA['N3DCS.3TVFW522AAO'],8,102,-1,,,,,1
1003,1//4,BB侧一级减温水调阀,N3DCS.3ZTFW522BAI,,CDATA['N3DCS.3TVFW522BAO'],8,102,-1,,,,,1
1004,1//4,A侧二级减温水调阀,N3DCS.3ZTFW523AAI,,CDATA['N3DCS.3TVFW523AO'],8,102,-1,,,,,1
1005,1//4,B侧二级减温水调阀,N3DCS.3ZTFW524AAI,,CDATA['N3DCS.3TVFW524AO'],8,102,-1,,,,,1
1006,1,一级屏过热器出口温度A侧,N3DCS.3TEMS503AAI,,CDATA['N3DCS.3TEMS503AAI'],8,CDATA['N3DCS.3BR1']*80+500,CDATA['N3DCS.3BR1']*350,,,,,1
1007,1,一级屏过热器出口温度B侧,N3DCS.3TEMS504AAI,,CDATA['N3DCS.3TEMS504AAI'],8,CDATA['N3DCS.3BR1']*80+500,CDATA['N3DCS.3BR1']*350,,,,,1
1008,1,二级屏过热器出口温度A侧,N3DCS.3TEMS507AAI,,CDATA['N3DCS.3TEMS507AAI'],8,CDATA['N3DCS.3BR1']*45+500,CDATA['N3DCS.3BR1']*400,,,,,1
1009,1,二级屏过热器出口温度B侧,N3DCS.3TEMS508AAI,,CDATA['N3DCS.3TEMS508AAI'],8,CDATA['N3DCS.3BR1']*35+500,CDATA['N3DCS.3BR1']*400,,,,,1
1010,1,A侧主汽温1,N3DCS.3TEMS102AI,,CDATA['N3DCS.3TEMS102S'],6 if CDATA['N3DCS.3TEMS102S'] >541 else 15,552,CDATA['N3DCS.3TEMS102S']-30,,,,,1
1011,1,A侧主汽温2,N3DCS.3TEMS103AI,,CDATA['N3DCS.3TEMS102S'],6 if CDATA['N3DCS.3TEMS102S'] >541 else 15,552,CDATA['N3DCS.3TEMS102S']-30,,,,,1
1012,1,B侧主汽温1,N3DCS.3TEMS106AI,,CDATA['N3DCS.3TEMS106S'],6 if CDATA['N3DCS.3TEMS106S'] >541 else 15,552,CDATA['N3DCS.3TEMS106S']-30,,,,,1
1013,1,B侧主汽温2,N3DCS.3TEMS107AI,,CDATA['N3DCS.3TEMS106S'],6 if CDATA['N3DCS.3TEMS106S'] >541 else 15,552,CDATA['N3DCS.3TEMS106S']-30,,,,,1
1014,1,主蒸汽温度1,N3DCS.3TEMS112AI,,,,554,500-(15 if numbmill < 3 and CDATA['N3DCS.3CCSMSFLOW']<350 else 0),CDATA['N3DCS.3BM04614'],,,,1
1015,1,主蒸汽温度2,N3DCS.3TEMS124AI,,,,554,500-(15 if numbmill < 3 and CDATA['N3DCS.3CCSMSFLOW']<350 else 0),CDATA['N3DCS.3BM04614'],,标题,℃,1
1016,1,主蒸汽温度3,N3DCS.3TEMS125AI,,,,554,500-(15 if numbmill < 3 and CDATA['N3DCS.3CCSMSFLOW']<350 else 0),CDATA['N3DCS.3BM04614'],,,,1
1017,1//4,再热蒸汽减温水调门开度,N3DCS.3ZTFW530AI,,CDATA['N3DCS.3TVFW530AO'],10,101,-0.1,,,,,1
1018,1,再热蒸汽温度,N3DCS.3TEHR102S,,CDATA['N3DCS.3CCSHRTESP'],"(7+max(541-CDATA['N3DCS.3CCSHRTESP'],0) if CDATA['N3DCS.3TEHR102S'] >541 else 25) +(15 if numbmill < 3 or CDATA['N3DCS.3CCSMSFLOW']<400 else 0)",550,"min(numbmill*170,500)",CDATA['N3DCS.3BM04614'],,标题,℃,1
1019,1,再热器出口联箱温度1,N3DCS.3TEHR116AI,,CDATA['N3DCS.3TEHR102S'],10,CDATA['N3DCS.3TEHR102S']+10,CDATA['N3DCS.3TEHR102S']-15,,,,,1
1020,1,再热器出口联箱温度2,N3DCS.3TEHR102AI,,CDATA['N3DCS.3TEHR102S'],10,CDATA['N3DCS.3TEHR102S']+10,CDATA['N3DCS.3TEHR102S']-15,,,,,1
1021,1,再热蒸汽减温水流量,N3DCS.3FTFW082S,,"round(VREHEATSPRAYVALVE[5]/1000,2)",5,28,-0.1,,,,,1
1022,1,再热器入口压力,N3DCS.3PTCR116AI,,yc('N3DCS.3PTCR116AI'),0.2,4,0,,,,,1
1023,1,再热器出口压力1,N3DCS.3PTHR106AAI,,CDATA['N3DCS.3HPEXHP']*920,200,4000,800*(CDATA['N3DCS.TV1PZMM']/100),,,,,1
1024,1,再热器出口压力2,N3DCS.3PTHR106BAI,,CDATA['N3DCS.3HPEXHP']*920,200,4000,800*(CDATA['N3DCS.TV1PZMM']/100),,,,,1
1025,1,再热器入口温度,N3DCS.3HPEXH,,yc('N3DCS.3HPEXH'),50,369,230*(CDATA['N3DCS.TV1PZMM']/100),CDATA['N3DCS.3BM04614'],,,,1
1026,1,高压缸排汽压力,N3DCS.3HPEXHP,,yc('N3DCS.3HPEXHP'),0.3,4,0,CDATA['N3DCS.3BM04614'],,,,1
1027,1,辅汽压力,N3DCS.3PTAS106AI,,CDATA['N3DCS.3CCSASPSP'],0.2,1.3,0.65,,,运行参数,,1
1028,1,辅汽温度,N3DCS.3TEAS108AI,,CDATA['N3DCS.3CCSASTSP'],80,350,170,,,运行参数,,1
1029,1//4,辅汽减温水调门反馈,N3DCS.3ZTCD250AI,,CDATA['N3DCS.3TYCD250AO'],10,101,-1,,,,,1
1030,1//4,辅汽至除氧器调阀开度,N3DCS.3ZTES022AI,,CDATA['N3DCS.3PYES022AO'],5,101,-1,,,,,1
1031,1,过热辅汽压力,N3DCS.3PTAS112AI,,CDATA['N3DCS.3CCSFASPSP'],400,1500,300,,,,,1
1032,1,去辅汽系统的冷再流量,N3DCS.3FTCR122AI,,,,90,0,,,,,1
1033,1,一期来辅汽压力,N3DCS.3PTAS104AI,,,,0.92,-0.1,,,,,1
1034,1,汽包低点放水电动门2开,N3DCS.3ZOBD010DI,,,,"0 if max(CDATA['N3DCS.3PTFW507AAI'],CDATA['N3DCS.3PTFW507BAI'],CDATA['N3DCS.3PTFW507CAI'])>4000 else 1",0,,,,,1
1035,1,汽包低点放水电动门2关,N3DCS.3ZCBD010DI,,,,abs(1-CDATA['N3DCS.3ZOBD010DI']),abs(1-CDATA['N3DCS.3ZOBD010DI']),,,,,1
1036,1,汽包低点放水电动门1开,N3DCS.3ZOBD009DI,,,,"0 if max(CDATA['N3DCS.3PTFW507AAI'],CDATA['N3DCS.3PTFW507BAI'],CDATA['N3DCS.3PTFW507CAI'])>4000 else 1",0,,,,,1
1037,1,汽包低点放水电动门1关,N3DCS.3ZCBD009DI,,,,abs(1-CDATA['N3DCS.3ZOBD009DI']),abs(1-CDATA['N3DCS.3ZOBD009DI']),,,,,1
1038,1,连排流量,N3DCS.3FTBD120AI,,CDATA['N3DCS.3FTBD120AI'],1,13+10*(CDATA['N3DCS.3ZOBD003DI']*CDATA['N3DCS.3ZOBD007DI']*CDATA['N3DCS.3ZOBD008DI']),0,,,,,1
1039,1,中间联箱放水电动门1开,N3DCS.3ZOBD011DI,,,,0,0,,,,,1
1040,1,中间联箱放水电动门1关,N3DCS.3ZCBD011DI,,,,abs(1-CDATA['N3DCS.3ZOBD011DI']),abs(1-CDATA['N3DCS.3ZOBD011DI']),,,,,1
1041,1,排汽电动总门开,N3DCS.3ZOBD001DI,,,,0,0,,,,,1
1042,1,排汽电动总门关,N3DCS.3ZCBD001DI,,,,abs(1-CDATA['N3DCS.3ZOBD001DI']),abs(1-CDATA['N3DCS.3ZOBD001DI']),,,,,1
1043,1,前屏入口排汽电动门开,N3DCS.3ZOBD013DI,,,,0,0,,,,,1
1044,1,前屏入口排汽电动门关,N3DCS.3ZCBD013DI,,,,abs(1-CDATA['N3DCS.3ZOBD013DI']),abs(1-CDATA['N3DCS.3ZOBD013DI']),,,,,1
1045,1,末级过入口排汽电动门开,N3DCS.3ZOBD014DI,,,,0,0,,,,,1
1046,1,末级过入口排汽电动门关,N3DCS.3ZCBD014DI,,,,abs(1-CDATA['N3DCS.3ZOBD014DI']),abs(1-CDATA['N3DCS.3ZOBD014DI']),,,,,1
1047,1,汽包排污电动门开,N3DCS.3ZOBD003DI,,,,1,0,,,,,1
1048,1,汽包排污电动门关,N3DCS.3ZCBD003DI,,,,abs(1-CDATA['N3DCS.3ZOBD003DI']),abs(1-CDATA['N3DCS.3ZOBD003DI']),,,,,1
1049,1,汽包定排电动门1开,N3DCS.3ZOBD007DI,,,,1,0,,,,,1
1050,1,汽包定排电动门1关,N3DCS.3ZCBD007DI,,,,abs(1-CDATA['N3DCS.3ZOBD007DI']),abs(1-CDATA['N3DCS.3ZOBD007DI']),,,,,1
1051,1,汽包定排电动门2开,N3DCS.3ZOBD008DI,,,,1,0,,,,,1
1052,1,汽包定排电动门2关,N3DCS.3ZCBD008DI,,,,abs(1-CDATA['N3DCS.3ZOBD008DI']),abs(1-CDATA['N3DCS.3ZOBD008DI']),,,,,1
1053,1//3,泄漏检测CH1,N3DCS.S01,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 30,0,,,,,1
1054,1//3,泄漏检测CH2,N3DCS.S02,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 30,0,,,,,1
1055,1//3,泄漏检测CH3,N3DCS.S03,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 30,0,,,,,1
1056,1//3,泄漏检测CH4,N3DCS.S04,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 30,0,,,,,1
1057,1//3,泄漏检测CH5,N3DCS.S05,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 30,0,,,,,1
1058,1//3,泄漏检测CH6,N3DCS.S06,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 30,0,,,,,1
1059,1//3,泄漏检测CH7,N3DCS.S07,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 30,0,,,,,1
1060,1//3,泄漏检测CH8,N3DCS.S08,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 30,0,,,,,1
1061,1//3,泄漏检测CH9,N3DCS.S09,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 30,0,,,,,1
1062,1//3,泄漏检测CH10,N3DCS.S10,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 30,0,,,,,1
1063,1//3,泄漏检测CH11,N3DCS.S11,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 30,0,,,,,1
1064,1//3,泄漏检测CH12,N3DCS.S12,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 30,0,,,,,1
1065,1//3,泄漏检测CH13,N3DCS.S13,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 10,0,,,,,1
1066,1//3,泄漏检测CH14,N3DCS.S14,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 10,0,,,,,1
1067,1//3,泄漏检测CH15,N3DCS.S15,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 10,0,,,,,1
1068,1//3,泄漏检测CH16,N3DCS.S16,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 10,0,,,,,1
1069,1//3,泄漏检测CH17,N3DCS.S17,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 10,0,,,,,1
1070,1//3,泄漏检测CH18,N3DCS.S18,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 10,0,,,,,1
1071,1//3,泄漏检测CH19,N3DCS.S19,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 10,0,,,,,1
1072,1//3,泄漏检测CH20,N3DCS.S20,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 10,0,,,,,1
1073,1//3,泄漏检测CH21,N3DCS.S21,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 10,0,,,,,1
1074,1//3,泄漏检测CH22,N3DCS.S22,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 20,0,,,,,1
1075,1//3,泄漏检测CH23,N3DCS.S23,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 10,0,,,,,1
1076,1//3,泄漏检测CH24,N3DCS.S24,,,,90 if CDATA['N3DCS.3ZTSB520AI']>10 else 10,0,,,,,1
1077,1,一级过热器A侧烟气入口温度,N3DCS.3TEBA251AI,,,,"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,550,100,580,350,590,450,600,800,620,1160,650,1200,651,1201,652])+40",0,,,,,1
1078,1,一级过热器B侧烟气入口温度,N3DCS.3TEBA252AI,,,,"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,550,100,580,350,590,450,600,800,620,1160,650,1200,651,1201,652])+40",0,,,,,1
1079,1,一级过热器内部A侧烟气温度,N3DCS.3TEBA253AI,,,,600,0,,,,,1
1080,1,一级过热器内部B侧烟气温度,N3DCS.3TEBA254AI,,,,620,0,,,,,1
1081,1,再热器入口A侧烟气出口温度,N3DCS.3TEBA255AI,,,,570,0,,,,,1
1082,1,再热器入口B侧烟气出口温度,N3DCS.3TEBA256AI,,,,590,0,,,,,1
1083,1,省煤器入口烟气A侧温度,N3DCS.3TEBA257AI,,,,490,0,,,,,1
1084,1,省煤器入口烟气B侧温度,N3DCS.3TEBA258AI,,,,510,0,,,,,1
1085,1,省煤器出口烟气A侧温度,N3DCS.3TEBA259AI,,,,375,0,,,,,1
1086,1,省煤器出口烟气B侧温度,N3DCS.3TEBA260AI,,,,380,0,,,,,1
1087,1,省煤器出口烟气A侧温度,N3DCS.3TEBA261AI,,,,370,0,,,,,1
1088,1,省煤器出口烟气B侧温度,N3DCS.3TEBA262AI,,,,370,0,,,,,1
1089,1//3,氢压,N3DCS.3H2P,,380,15//5 if datetime.datetime.now().hour>8 and datetime.datetime.now().hour<16 else 10,400,320,CDATA['N3DCS.3BM04614'],,标题，运行参数,KPa,1
1090,1//3,氢气纯度,N3DCS.3H2PUR,FILTER1//10,"max(CDATA['N3DCS.3H2PUR'],98)",1.5//1 if datetime.datetime.now().hour>8 and datetime.datetime.now().hour<16 else 1.5,100,95,CDATA['N3DCS.3BM04614'],,运行参数,,1
1091,1,发电机出口电压AB,N3DCS.3ETMP002AI,,,,21,19,CDATA['N3DCS.3BM04614'],,,,1
1092,1,发电机出口电压BC,N3DCS.3ECSGC002AI,,,,21,19,CDATA['N3DCS.3BM04614'],,,,1
1093,1,发电机出口电压CA,N3DCS.3ECSGC003AI,,,,21,19,CDATA['N3DCS.3BM04614'],,,,1
1094,1,发电机出口电流A,N3DCS.3ITMP005AI,,CDATA['N3DCS.3JTMP010AI']/CDATA['N3DCS.3ETMP002AI']/math.sqrt(3)*1000/CDATA['N3DCS.3JTMP015AI'],250,CDATA['N3DCS.3BR1']*12000+10,CDATA['N3DCS.3BR1']*100,CDATA['N3DCS.3BM04614'],,,,1
1095,1,发电机出口电流B,N3DCS.3ITMP004AI,,CDATA['N3DCS.3JTMP010AI']/CDATA['N3DCS.3ECSGC002AI']/math.sqrt(3)*1000/CDATA['N3DCS.3JTMP015AI'],250,CDATA['N3DCS.3BR2']*12000+10,CDATA['N3DCS.3BR2']*100,CDATA['N3DCS.3BM04614'],,,,1
1096,1,发电机出口电流C,N3DCS.3ITMP003AI,,CDATA['N3DCS.3JTMP010AI']/CDATA['N3DCS.3ECSGC003AI']/math.sqrt(3)*1000/CDATA['N3DCS.3JTMP015AI'],250,CDATA['N3DCS.3BR3']*12000+10,CDATA['N3DCS.3BR3']*100,CDATA['N3DCS.3BM04614'],,,,1
1097,1,发电机无功,N3DCS.3MVAR,,,,"(1-pow(0.75,2))*pow(CDATA['N3DCS.MW'],2)/pow(0.75,2)","(1-pow(1.05,2))*pow(CDATA['N3DCS.MW'],2)/pow(1.05,2)",CDATA['N3DCS.3BM04614'],,,,1
1098,1,发电机有功,N3DCS.MW,,,,365,0,CDATA['N3DCS.3BM04614'],,,,1
1099,1,发电机视在功率,N3DCS.3MVA,,,,445,0,CDATA['N3DCS.3BM04614'],,,,1
1100,1,发电机功率因数,N3DCS.3JTMP015AI,,,,1.05,0.75*(1-CDATA['N3DCS.3ECSGC001DI']),CDATA['N3DCS.3BM04614'],,,,1
1101,1,励磁电压,N3DCS.3ETMP016AI,,,,9.4*CDATA['N3DCS.3ECSGE003DI']+0.1,2.6*CDATA['N3DCS.3ECSGE003DI']-0.1,CDATA['N3DCS.3BM04614'],,运行参数,,1
1102,1,励磁电流,N3DCS.3ITMP015AI,,,,220*CDATA['N3DCS.3ECSGE003DI']+5,85*CDATA['N3DCS.3ECSGE003DI']-5,CDATA['N3DCS.3BM04614'],,运行参数,,1
1103,1,负序电流,N3DCS.3ECSGC001AI,,,,0.055*CDATA['N3DCS.3ITMP004AI']+2,-1,CDATA['N3DCS.3BM04614'],,,,1
1104,1,主变压器线圈温度,N3DCS.3TEMP601AI,,,,80,20,CDATA['N3DCS.3BM04614'],,,,1
1105,1,发电机线圈温度1,N3DCS.3GCGD1,,,,CDATA['N3DCS.3HDCIS2']+CDATA['N3DCS.3EXPECT']+7,40,CDATA['N3DCS.3BM04614'],,,,1
1106,1,发电机线圈温度2,N3DCS.3GCGD2,,,,CDATA['N3DCS.3HDCIS2']+CDATA['N3DCS.3EXPECT']+7,40,CDATA['N3DCS.3BM04614'],,,,1
1107,1,发电机线圈温度3,N3DCS.3GCGD3,,,,CDATA['N3DCS.3HDCIS2']+CDATA['N3DCS.3EXPECT']+10,40,CDATA['N3DCS.3BM04614'],,,,1
1108,1,发电机线圈温度4,N3DCS.3GCGD4,,,,CDATA['N3DCS.3HDCIS2']+CDATA['N3DCS.3EXPECT']+7,40,CDATA['N3DCS.3BM04614'],,,,1
1109,1,发电机线圈温度5,N3DCS.3GCGD5,,,,CDATA['N3DCS.3HDCIS2']+CDATA['N3DCS.3EXPECT']+7,40,CDATA['N3DCS.3BM04614'],,,,1
1110,1,发电机线圈温度6,N3DCS.3GCGD6,,,,CDATA['N3DCS.3HDCIS2']+CDATA['N3DCS.3EXPECT']+7,40,CDATA['N3DCS.3BM04614'],,,,1
1111,1,发电机线圈温差最大值,N3DCS.O205X271,,CDATA['N3DCS.O205X271'],0.2,6,0,CDATA['N3DCS.3BM04614'],,运行参数,,1
1112,1,氢冷器出口温度,N3DCS.3TEHY601AI,,CDATA['N3DCS.3CCSGEH2SP'],2,44,38,CDATA['N3DCS.3BM04614'],,,,1
1113,1,氢冷器出口温度1,N3DCS.3HDCIS1,,,,43.5,39,CDATA['N3DCS.3BM04614'],,,,1
1114,1,氢冷器出口温度2,N3DCS.3HDCIS2,,,,43,39,CDATA['N3DCS.3BM04614'],,,,1
1115,1,氢冷器出口温差,N3DCS.3HDCISDT,abs(CDATA['N3DCS.3HDCIS1']-CDATA['N3DCS.3HDCIS2']),0,1,2,0,CDATA['N3DCS.3BM04614'],,,,1
1116,1,空冷器出口温度1,N3DCS.3EXCIN1,,,,43,35,CDATA['N3DCS.3BM04614'],,,,1
1117,1,空冷器出口温度2,N3DCS.3EXCIN2,,,,46,38,CDATA['N3DCS.3BM04614'],,,,1
1118,1,空冷器出口温度,N3DCS.3CCSEXCTE,,CDATA['N3DCS.3CCSEXCTESP'],2,46,35,CDATA['N3DCS.3BM04614'],,,,1
1119,1,空冷器入口温度1,N3DCS.3EXCIN3,,,,70,35,CDATA['N3DCS.3BM04614'],,,,1
1120,1,空冷器入口温度2,N3DCS.3EXCIN4,,,,70,35,CDATA['N3DCS.3BM04614'],,,,1
1121,1,3A6KV电压,N3DCS.3ETAP014AI,,CDATA['N3DCS.3ECSGC002AI']/3.13*1000,100,6700,5800,,,,,1
1122,1,3B6KV电压,N3DCS.3ETAP013AI,,CDATA['N3DCS.3ECSGC002AI']/3.13*1000,100,6700,5800,,,,,1
1123,1,6.3KV 633A 手自动方式,N3DCS.3ECSMC050DO,,,,0,0,CDATA['N3DCS.3BM04614'],,,,1
1124,1,6.3KV 633B 手自动方式,N3DCS.3ECSMC051DO,,,,0,0,CDATA['N3DCS.3BM04614'],,,,1
1125,1,3C6KV电压,N3DCS.9ETAP027AI,,,,6400,5500,,,,,1
1126,1,4C6KV电压,N3DCS.9ETAP028AI,,,,6500,6100,,,,,1
1127,1,3C MC备用方式,N3DCS.9ECSMC063DO,,,,1 if CDATA['N3DCS.3JTMP010S']>50 else 0,1 if CDATA['N3DCS.3JTMP010S']>50 else 0,,,,,1
1128,1,4C MC备用方式,N3DCS.9ECSMC069DO,,,,0 if CDATA['N4DCS.4JTMP010S']>50 else 1,0 if CDATA['N4DCS.4JTMP010S']>50 else 1,,,,,1
1129,1,3APC400V电压,N3DCS.3ITAP111AI,,CDATA['N3DCS.3ETAP014AI']/15.7,20,430,380,,,,,1
1130,1,3BPC400V电压,N3DCS.3ETAP093AI,,CDATA['N3DCS.3ETAP013AI']/15.7,20,430,380,,,,,1
1131,1,3SPC400V电压,N3DCS.3ETAP124AI,,,,420,390,,,,,1
1132,1,3CPC400V电压,N3DCS.9ITAP115AI,,,,420,390,,,,,1
1133,1,3NE电压,N3DCS.3ETAP088AI,,,,420,375,,,运行参数,,1
1134,1,250V母线电压,N3DCS.3ECSDC003AI,,,,270,230,,,,,1
1135,1,3A125V母线电压,N3DCS.3ECSDC001AI,,,,140,110,,,,,1
1136,1,3B125V母线电压,N3DCS.3ECSDC002AI,,,,140,110,,,,,1
1137,1//3,柴油发电机运行,N3DCS.3ECSDG007DI,,,,0.1,0,,,,,1
1138,,400V CW TRMNT PC CWTA VOLT,N3DCS.9ETAP149AI,,,,430,380,1,,,,
1139,5,净烟气NOX含量AVG,N3DCS.3NOXAVG,,42,6//10,CDATA['N3DCS.3NOXREF'],25,1 if datetime.datetime.now().minute<15 else CDATA['N3DCS.3BM04614'],1500,图表2_21/运行参数,mg/Nm,1
1140,5,净烟气NOX含量,N3DCS.FGDTO3DCS024,,"round(min(CDATA['N3DCS.3NOXREF']-5,45),2)",20,"min(CDATA['N3DCS.3NOXREF']-2,60)",20,CDATA['N3DCS.3BM04614'],1500,图表2_20/运行参数,mg/Nm,1
1141,5,A侧NOX含量,N3DCS.LA20D21006,,,,120,30,CDATA['N3DCS.3BM04614'],1500,,,1
1142,5,B侧NOX含量,N3DCS.LA20D21008,,,,120,30,CDATA['N3DCS.3BM04614'],1500,,,1
1143,1//5,SCR反应器3A入口氧含量,N3DCS.31HSA20CQ102,,CDATA['N3DCS.3ATBA265AAI']+0.5,3,CDATA['N3DCS.3ATBA265AAI']+4,"max(CDATA['N3DCS.3ATBA265AAI']-2,2)",,1500,,,1
1144,1//5,SCR反应器3A出口氧含量,N3DCS.31HSA40CQ102,,CDATA['N3DCS.3ATBA265BAI']+1.5,3,CDATA['N3DCS.3ATBA265BAI']+5,CDATA['N3DCS.3ATBA265BAI']-1,,1500,,,1
1145,1//5,SCR反应器3B入口氧含量,N3DCS.32HSA20CQ102,,CDATA['N3DCS.3ATBA265AAI']+0.5,3,CDATA['N3DCS.3ATBA265AAI']+4,CDATA['N3DCS.3ATBA265AAI']-1,,1500,,,1
1146,1//5,SCR反应器3B出口氧含量,N3DCS.32HSA20CQ102O,,CDATA['N3DCS.3ATBA265BAI']+1.6,3,CDATA['N3DCS.3ATBA265BAI']+5,CDATA['N3DCS.3ATBA265BAI']-1,,1500,,,1
1147,5,SCR反应器3A入口NOx含量,N3DCS.31HSA20CQ101,,,,700,0,CDATA['N3DCS.3BM04614'],1500,,,1
1148,5,SCR反应器3B入口NOx含量,N3DCS.32HSA20CQ101,,,,700,0,CDATA['N3DCS.3BM04614'],1500,,,1
1149,1//4,省煤器3A出口烟气挡板1位置反馈,N3DCS.31HSA11AA001XC11,,CDATA['N3DCS.31HSA11AA001XC01'],15,105,18,,,,,1
1150,1//4,省煤器3A出口烟气挡板2位置反馈,N3DCS.31HSA11AA001XC12,,CDATA['N3DCS.31HSA11AA001XC02'],15,105,18,,,,,1
1151,1//4,省煤器3B出口烟气挡板1位置反馈,N3DCS.32HSA11AA001XC11,,CDATA['N3DCS.32HSA11AA001XC01'],15,105,18,,,,,1
1152,1//4,省煤器3B出口烟气挡板2位置反馈,N3DCS.32HSA11AA001XC12,,CDATA['N3DCS.32HSA11AA001XC02'],15,105,18,,,,,1
1153,1//4,省煤器3A旁路烟气挡板1位置反馈,N3DCS.31HSA12AA001XC11,,CDATA['N3DCS.31HSA12AA001XC01'],15,105,-5,,,,,1
1154,1//4,省煤器3A旁路烟气挡板2位置反馈,N3DCS.31HSA12AA001XC12,,CDATA['N3DCS.31HSA12AA001XC02'],15,105,-5,,,,,1
1155,1//4,省煤器3B旁路烟气挡板1位置反馈,N3DCS.32HSA12AA001XC11,,CDATA['N3DCS.32HSA12AA001XC01'],15,105,-5,,,,,1
1156,1//4,省煤器3B旁路烟气挡板2位置反馈,N3DCS.32HSA12AA001XC12,,CDATA['N3DCS.32HSA12AA001XC02'],15,105,-5,,,,,1
1157,1,SCR反应器3A出口挡板开,N3DCS.31HSA40AA001XG01,,,,1,CDATA['N3DCS.3ZABA05FADI'],,,,,1
1158,1,SCR反应器3B出口挡板开,N3DCS.32HSA40AA001XG01,,,,1,CDATA['N3DCS.3ZABA06FADI'],,,,,1
1159,1//5,混合器3A进口管道气氨压力,N3DCS.30HSK21CP101,,CDATA['N3DCS.30HSK21AA002XG01']*220,40//65,300,CDATA['N3DCS.30HSK21AA002XG01']*130,,100 if CDATA['N3DCS.30HSK21CP101']<250 else 0,,,1
1160,1//5,混合器3B进口管道气氨压力,N3DCS.30HSK22CP101,,CDATA['N3DCS.30HSK22AA002XG01']*220,40//65,300,CDATA['N3DCS.30HSK22AA002XG01']*130,,100 if CDATA['N3DCS.30HSK22CP101']<250 else 0,,,1
1161,1//5,SCR反应器3A入口温度设定,N3DCS.LA20D20001,,320,"max(100-CDATA['N3DCS.3CCSMSFLOW'],0.5)",330,310,CDATA['N3DCS.3BM04614'],,,,1
1162,1//5,SCR反应器3A入口温度1,N3DCS.31HSA30CT101,,CDATA['N3DCS.LA20D20001'],"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,320,100,100,200,40,300,30,700,35,800,40,900,50,1201,60])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,320,100,340,200,350,300,360,700,385,800,385,900,385,1201,390])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,0,100,100,200,275,300,280,700,300,800,300,900,300,1201,320])*CDATA['N3DCS.3ZABA05FADI']",,,,,1
1163,1//5,SCR反应器3A入口温度2,N3DCS.31HSA30CT102,,CDATA['N3DCS.LA20D20001'],"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,320,100,100,200,40,300,30,700,35,800,40,900,50,1201,60])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,320,100,340,200,350,300,360,700,385,800,385,900,385,1201,390])","Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[0,0,100,100,200,275,300,280,700,300,800,300,900,300,1201,320])*CDATA['N3DCS.3ZABA05FADI']",,,,,1
